feature,importance_gain,lgbm_rank,mutual_info,mi_rank,target_corr,corr_rank,avg_rank
Oil_Prices_volatility_6m_change,24875830.69873047,23,0.009806532073084462,540,0.16931822276838437,136,233.0
Challenger_Job_Cuts_6m_change,1072149.0,128,0.034324211306054675,259,0.11650309264929515,314,233.66666666666666
Oil_Prices_zscore_3m_min_lag2,414643.796875,196,0.054151963612540044,183,0.11521667068137893,322,233.66666666666666
NOAA_Human_Impact_Index_latest,130351.69921875,313,0.0457855560273801,198,0.1473769970085874,191,234.0
CB_Consumer_Confidence_mom_change,186095.7998046875,274,0.02875698122128778,304,0.17473910374936535,127,235.0
VIX_volatility_lag1,686292.22265625,153,0.02218439596564803,370,0.14853760039398362,186,236.33333333333334
ISM_NonManufacturing_Index_18m_change,601795.0,167,0.021685830496366076,374,0.1521311496921494,170,237.0
Weekly_Econ_Index_monthly_avg_2yr_change,553151.0,172,0.025131743830371533,338,0.14360411358893257,203,237.66666666666666
emp_sa_private_services_other_nsa_3m_chg,484214.5,182,0.2348552792742855,60,0.09207167457116318,476,239.33333333333334
Empire_State_Mfg_yoy_change,65100.6015625,411,0.04733584736583163,196,0.18617904563933363,111,239.33333333333334
CCSA_MoM_Pct_yoy_change,782181.5,143,0.007988988205529957,570,0.5105762277204774,8,240.33333333333334
Oil_worst_day_pct_trend_12m,18520.19921875,507,0.06292187937167659,160,0.22404758285361503,56,241.0
emp_sa_private_services_education_health_nsa_mom,0.0,610,0.24364917347302528,59,0.22117422930282768,61,243.33333333333334
VIX_p99_18m_change,739186.1015625,147,0.028437630290907734,309,0.12369008326255217,276,244.0
CCSA_max_spike_volatility_6m,2597374.0,94,0.042499326564575224,213,0.09882235850435125,427,244.66666666666666
emp_sa_private_services_information_motion_picture_nsa_volatility,1203460.0,122,0.03637016821937511,247,0.10605603960620424,379,249.33333333333334
ADP_actual_yoy_change,103808.5,351,0.044273873672831865,205,0.14360887534915132,202,252.66666666666666
Weekly_Econ_Index_monthly_avg_6m_change,1699514.19921875,109,0.011717307149258449,516,0.17051335468341394,133,252.66666666666666
emp_sa_private_services_professional_business_admin_waste_nsa_mom,21891.69921875,496,0.20467588494205868,75,0.14809720820922087,188,253.0
Weekly_Econ_Index_monthly_avg_latest,40342.5,452,0.03991791654249832,229,0.20488745911126371,81,254.0
emp_sa_private_goods_nsa_mom,91702.40234375,363,0.2496074688856904,57,0.11111264375558412,343,254.33333333333334
Credit_Spreads_acceleration_rolling_mean_6,4115941.3984375,82,0.012942003615825648,501,0.1510065179171953,180,254.33333333333334
ISM_Manufacturing_Index_latest,63487.6015625,414,0.041898476159367704,219,0.1696864136012234,134,255.66666666666666
Empire_State_Mfg_18m_change,27664.80078125,481,0.04072811477955085,224,0.2189744054310808,62,255.66666666666666
nfp_nsa_mom_rolling_6m,163783.0,289,0.2088778148010637,74,0.1023179090671872,405,256.0
VIX_panic_regime_18m_change,33351400.0,17,0.001300024412209222,698,0.23107953943166937,53,256.0
SP500_30d_return_lag6,7644063.69921875,73,0.016775485591764117,438,0.1283584145993015,258,256.3333333333333
SP500_best_day_rolling_mean_3,1614588.0,110,0.006023164845371465,602,0.22197313345590852,59,257.0
CB_Consumer_Confidence_2yr_change,221612.69921875,255,0.08100539146723928,140,0.10481412592037845,389,261.3333333333333
emp_sa_private_services_trade_transportation_utilities_wholesale_nsa_3m_chg,145923.5,302,0.18673333930513625,80,0.10239623839099582,404,262.0
emp_sa_private_services_information_publishing_nsa_latest,0.0,593,0.13501541335950717,103,0.19135195947457717,99,265.0
emp_sa_private_goods_construction_nsa_mom,14485.400390625,514,0.1285231555969375,112,0.15143664968210527,175,267.0
