ds,actual,predicted,error,lower_50,upper_50,lower_80,upper_80,lower_95,upper_95,in_50_interval,in_80_interval,in_95_interval,n_train_samples,n_features
2021-06-01,1132.0,529.4712479990555,602.5287520009445,639.5453092301044,2093.7624606166974,314.6563068278457,2668.225675564692,-2329.1659407276366,5410.107188914371,True,True,True,375,61
2021-07-01,-47.0,-654.8014895662428,607.8014895662428,-540.5193662421696,788.3810265203678,-762.1365471701904,967.8160858794746,-951.1431473307781,4205.418603438251,True,True,True,376,61
2021-08-01,386.0,72.45658168654518,313.5434183134548,226.22804760417273,1077.6964811250455,-24.822695108094877,1621.3067588457557,-142.28758262650456,2134.2618703035178,True,True,True,377,61
2021-09-01,826.0,599.7295733421837,226.2704266578163,637.3985679423333,1520.5414920078342,417.03515676422205,1992.4374718422587,386.2503903691291,2172.0502455155824,True,True,True,378,64
2021-10-01,1535.0,836.7609073083894,698.2390926916106,843.4282945769845,1734.1161385118994,652.9961292131491,2030.6503446711358,598.2492916967581,2371.4436839266587,True,True,True,379,64
2021-11-01,787.0,524.43691238891,262.56308761109005,498.11022856829607,1253.0929487300612,324.8479022675065,1553.3483003493125,253.4830388985278,2137.1900815163904,True,True,True,380,64
2021-12-01,166.0,-617.9815630618822,783.9815630618822,-642.0465677539428,-113.66213443805543,-817.5672302547923,384.26915267039976,-927.8670431961953,1017.5445084810032,False,True,True,381,64
2022-01-01,-2645.0,-2226.9704187424145,-418.0295812575855,-2251.3908933312264,-1559.8045046977984,-2423.9197945000296,-1040.3438539632537,-2536.8558988767277,-591.4443471995291,False,False,False,382,64
2022-02-01,1442.0,770.292110188489,671.707889811511,758.4453221374396,1456.308236598119,573.3427344308739,1969.8540787306174,495.1196105305307,2436.2212906135555,True,True,True,383,64
2022-03-01,971.0,812.7415749135685,158.25842508643154,917.03751292424,1503.0049078216944,602.6841430015351,2012.3035434556969,560.0714193974468,2387.464416184682,True,True,True,384,65
2022-04-01,1045.0,925.832292577635,119.16770742236497,1030.1282305883065,1614.373319059426,696.4544310048011,1947.692079925817,646.9211879862559,2589.6560877137854,True,True,True,385,65
2022-05-01,790.0,619.7242843299424,170.2757156700576,768.1695672635964,1308.2653108117333,420.78045866065895,1354.5267512456985,265.18939357411426,2020.3745765233625,True,True,True,386,65
2022-06-01,919.0,729.5846080261721,189.41539197382792,890.3947382095372,1374.5648787024688,560.6887463790879,1464.3870749419284,359.5971384090842,1578.7895797129418,True,True,True,387,65
2022-07-01,-443.0,-269.3489347885121,-173.6510652114879,-97.84378946455428,235.52304136472094,-409.97963061467215,467.22021228030314,-639.3364044056,565.5493058109806,False,False,True,388,65
2022-08-01,323.0,433.70953927894897,-110.70953927894897,602.4583830501973,1017.5691263358756,327.6515577861353,1160.383073781302,129.21534067821136,1268.6077798784418,False,False,True,389,65
2022-09-01,501.0,613.7055124563062,-112.70551245630622,771.8943518805432,1146.5405750859502,535.4405924510227,1280.3916061341326,319.2639949697691,1448.603753055799,False,False,True,390,66
2022-10-01,1296.0,617.5587739668358,678.4412260331642,679.1699767773894,1144.0955232606436,560.896782501175,1275.4816496012813,298.2492041255417,1304.0638730996602,False,False,True,391,66
2022-11-01,621.0,544.6494329248535,76.3505670751465,604.2494854367425,931.8737524366002,454.5394237816406,1160.8900826550366,54.40896402514477,1209.8758428406277,True,True,True,392,66
2022-12-01,-219.0,-262.762775184385,43.76277518438502,-235.46689510527528,131.0314870786205,-393.7735004705116,357.2597107621148,-753.0032440840937,402.46363473138905,True,True,True,393,66
2023-01-01,-1927.0,-2448.241293106123,521.2412931061231,-2438.0171081056355,-2136.698941674719,-2579.2520183922497,-1828.2188071596233,-2955.381813114736,-1730.8866531274361,False,True,True,394,66
2023-02-01,1111.0,565.9097731304536,545.0902268695464,568.5716891538264,914.6839789941316,408.31187934666474,1209.758105734475,75.57546766075723,1330.4756075659745,False,True,True,395,66
2023-03-01,562.0,522.9884149362483,39.01158506375168,516.6929402442358,875.3177723380936,411.2662974779207,1190.6163127354955,71.74362428071782,1287.5542493717694,True,True,True,396,62
