Release Date,Time,Actual,Forecast,Previous
"Feb 01, 2006  (Jan)",07:15,329K,,165K
"Jan 01, 2006  (Dec)",07:15,165K,,343K
"Dec 01, 2005  (Nov)",07:15,343K,,154K
"Nov 01, 2005  (Oct)",07:15,154K,,105K
"Oct 01, 2005  (Sep)",07:15,105K,,175K
"Sep 01, 2005  (Aug)",07:15,175K,,204K
"Aug 01, 2005  (Jul)",07:15,204K,,253K
"Jul 01, 2005  (Jun)",07:15,253K,,238K
"Jun 01, 2005  (May)",07:15,238K,,218K
"May 01, 2005  (Apr)",07:15,218K,,169K
"Apr 01, 2005  (Mar)",07:15,169K,,174K
"Mar 01, 2005  (Feb)",07:15,174K,,155K
"Feb 01, 2005  (Jan)",07:15,155K,,197K
"Jan 01, 2005  (Dec)",07:15,197K,,70K
"Dec 01, 2004  (Nov)",07:15,70K,,203K
"Nov 01, 2004  (Oct)",07:15,203K,,119K
"Oct 01, 2004  (Sep)",07:15,119K,,126K
"Sep 01, 2004  (Aug)",07:15,126K,,116K
"Aug 01, 2004  (Jul)",07:15,116K,,133K
"Jul 01, 2004  (Jun)",07:15,133K,,165K
"Jun 01, 2004  (May)",07:15,165K,,224K
"May 01, 2004  (Apr)",07:15,224K,,205K
"Apr 01, 2004  (Mar)",07:15,205K,,140K
"Mar 01, 2004  (Feb)",07:15,140K,,111K
"Feb 01, 2004  (Jan)",07:15,111K,,60K
"Jan 01, 2004  (Dec)",07:15,60K,,105K
"Dec 01, 2003  (Nov)",07:15,105K,,146K
"Nov 01, 2003  (Oct)",07:15,146K,,132K
"Oct 01, 2003  (Sep)",07:15,132K,,24K
"Sep 01, 2003  (Aug)",07:15,24K,,78K
"Aug 01, 2003  (Jul)",07:15,78K,,25K
"Jul 01, 2003  (Jun)",07:15,25K,,-6K
"Jun 01, 2003  (May)",07:15,-6K,,-86K
"May 01, 2003  (Apr)",07:15,-86K,,-91K
"Apr 01, 2003  (Mar)",07:15,-91K,,-68K
"Mar 01, 2003  (Feb)",07:15,-68K,,0K
"Feb 01, 2003  (Jan)",07:15,0K,,-35K
"Jan 01, 2003  (Dec)",07:15,-35K,,-18K
"Dec 01, 2002  (Nov)",07:15,-18K,,-42K
"Nov 01, 2002  (Oct)",07:15,-42K,,-84K
"Oct 01, 2002  (Sep)",07:15,-84K,,-22K
"Sep 01, 2002  (Aug)",07:15,-22K,,-95K
"Aug 01, 2002  (Jul)",07:15,-95K,,-91K
"Jul 01, 2002  (Jun)",07:15,-91K,,-47K
"Jun 01, 2002  (May)",07:15,-47K,,-70K
"May 01, 2002  (Apr)",07:15,-70K,,-70K
"Apr 01, 2002  (Mar)",07:15,-70K,,-91K
"Mar 01, 2002  (Feb)",07:15,-91K,,-69K
"Feb 01, 2002  (Jan)",07:15,-69K,,-223K
"Jan 01, 2002  (Dec)",07:15,-223K,,-361K
"Dec 01, 2001  (Nov)",07:15,-361K,,-380K
"Nov 01, 2001  (Oct)",07:15,-380K,,-261K
"Oct 01, 2001  (Sep)",07:15,-261K,,-246K
"Sep 01, 2001  (Aug)",07:15,-246K,,-203K
"Aug 01, 2001  (Jul)",07:15,-203K,,-230K
"Jul 01, 2001  (Jun)",07:15,-230K,,-175K
"Jun 01, 2001  (May)",07:15,-175K,,
